startup,founder,website,company_email
PostHog,James Hawkins,https://posthog.com,hey@posthog.com
Plausible Analytics,Uku Taht,https://plausible.io,hello@plausible.io
Fathom Analytics,Jack Ellis,https://usefathom.com,support@usefathom.com
Tally,Marie Martens,https://tally.so,hello@tally.so
Attio,Nicolas Sharp,https://attio.com,hello@attio.com
Clay,Kareem Amin,https://www.clay.com,hello@clay.com
Beehiiv,Tyler Denk,https://www.beehiiv.com,support@beehiiv.com
Supabase,Paul Copplestone,https://supabase.com,support@supabase.com
Replit,Amjad Masad,https://replit.com,support@replit.com
Descript,Andrew Mason,https://www.descript.com,support@descript.com
Riverside,Nadav Keyson,https://riverside.fm,hello@riverside.fm
Canny,Sarah Hum,https://canny.io,support@canny.io
PandaDoc,Mikita Mikado,https://www.pandadoc.com,support@pandadoc.com
Close,Steli Efti,https://close.com,support@close.com
Lemlist,Guillaume Moubeche,https://www.lemlist.com,support@lemlist.com
Typefully,Richie Bonilla,https://typefully.com,hello@typefully.com
Rows,Humberto Farias,https://rows.com,hello@rows.com
June,Antoine Freysz,https://june.so,hello@june.so
ChartMogul,Nick Franklin,https://chartmogul.com,hello@chartmogul.com
Baremetrics,Josh Pigford,https://baremetrics.com,support@baremetrics.com
Metabase,Sameer Al-Sakran,https://www.metabase.com,contact@metabase.com
Amplitude,Spenser Skates,https://amplitude.com,contact@amplitude.com
Heap,Ravi Parikh,https://heap.io,sales@heap.io
Mixpanel,Suhail Doshi,https://mixpanel.com,support@mixpanel.com
Miro,Andrey Khusid,https://miro.com,support@miro.com
Mural,Mariano Suarez-Battan,https://www.mural.co,support@mural.co
Lattice,Jack Altman,https://lattice.com,support@lattice.com
Rippling,Parker Conrad,https://www.rippling.com,sales@rippling.com
Gusto,Josh Reeves,https://gusto.com,support@gusto.com
Deel,Alex Bouaziz,https://www.deel.com,support@deel.com
Remote,Job van der Voort,https://remote.com,hello@remote.com
Oyster,Tony Jamous,https://www.oysterhr.com,hello@oysterhr.com
Personio,Hanno Renner,https://www.personio.com,info@personio.com
Carta,Henry Ward,https://carta.com,support@carta.com
Pulley,Yinan Zhou,https://pulley.com,support@pulley.com
Productboard,Hubert Palan,https://www.productboard.com,support@productboard.com
Aha!,Brian de Haaff,https://www.aha.io,support@aha.io
Pendo,Todd Olson,https://www.pendo.io,support@pendo.io
Intercom,Eoghan McCabe,https://www.intercom.com,support@intercom.com
Drift,David Cancel,https://www.drift.com,help@drift.com
Front,Mathilde Collin,https://front.com,support@front.com
Help Scout,Nick Francis,https://www.helpscout.com,support@helpscout.com
Freshworks,Girish Mathrubootham,https://www.freshworks.com,support@freshworks.com
Monday.com,Roy Mann,https://monday.com,support@monday.com
Asana,Dustin Moskovitz,https://asana.com,support@asana.com
Basecamp,Jason Fried,https://basecamp.com,support@basecamp.com
Todoist,Amir Salihefendic,https://todoist.com,support@todoist.com
Zapier,Wade Foster,https://zapier.com,contact@zapier.com
Make,Matej Kapošvár,https://www.make.com,support@make.com
n8n,Jan Oberhauser,https://n8n.io,hello@n8n.io
Coda,Shishir Mehrotra,https://coda.io,support@coda.io
Slite,Christophe Pasquier,https://slite.com,hello@slite.com
Slab,Jason Aten,https://slab.com,hello@slab.com
Readwise,Tristan Homsi,https://readwise.io,hello@readwise.io
Reflect,Alex MacCaw,https://reflect.app,hello@reflect.app
Scribe,Jennifer Smith,https://scribehow.com,support@scribehow.com
Whimsical,Kaspars Dancis,https://whimsical.com,hello@whimsical.com
Gamma,Grant Lee,https://gamma.app,support@gamma.app
